Summer Olympics,Winter Olympics,Paralympics
United States,Norway,United States
Soviet Union,United States,Great Britain
Great Britain,Soviet Union,Germany
China,Germany,China
France,Canada,Canada
Italy,Austria,Australia
Germany,Sweden,France
Hungary,Switzerland,Netherlands
East Germany,Russia,Sweden
Australia,Finland,Norway
Russia,France,Poland
Sweden,Switzerland,Spain
Japan,Canada,Austria
Finland,Sweden,Russia
South Korea,Ukraine,Italy
Romania,Japan,Finland
Netherlands,Spain,Ukraine
Cuba,New Zealand,Japan
Poland,Italy,South Korea
Canada,Australia,Israel
Norway,Poland,Switzerland
West Germany,United Team,South Africa
Bulgaria,Slovakia,Mexico
Switzerland,Czech Republic,Denmark
Czechoslovakia,Belarus,Brazil
New Zealand,,New Zealand
Spain,,Belgium
Denmark,,Ireland
Belgium,,Iran
,,Egipt
,,Czech Republic
,,Belarus
,,Tunisia
,,Cuba
,,Hong Kong
,,Nigeria
,,Argentina
,,United Team
,,Hungary
